title,link,cited,relatedLink,position,publishedData
High assurance computing on open hardware architectures,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.136.9347&rep=rep1&type=pdf,Cited by 22,"https://scholar.google.com/scholar?q=related:GvKlfcu-gCEJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",41,"Y Chen, P England, M Peinado, B Willman - Microsoft re-Rearch Technical …, 2003 - Citeseer"
Open Hardware for CERN's accelerator control systems,https://iopscience.iop.org/article/10.1088/1748-0221/7/01/C01032/meta,Cited by 9,"https://scholar.google.com/scholar?q=related:TFH0hsgF1wEJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",42,"E van der Bij, J Serrano, T Wlostowski… - Journal of …, 2012 - iopscience.iop.org"
Teaching robotics software with the open hardware mobile manipulator,https://ieeexplore.ieee.org/abstract/document/6331578/,Cited by 17,"https://scholar.google.com/scholar?q=related:aE-KSSix5d0J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",43,"M Vona, NH Shekar - IEEE Transactions on Education, 2012 - ieeexplore.ieee.org"
"The “ACRONET paradigm”, an “open hardware” project",https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1048&context=openwater,Cited by 5,"https://scholar.google.com/scholar?q=related:kifxnFKzDOEJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",44,"A Fedi, D Ferrari, M Lima, F Pintus… - Open Water …, 2013 - scholarsarchive.byu.edu"
Recycling and Updating an Educational Robot Manipulator with Open-Hardware-Architecture,https://www.mdpi.com/1424-8220/20/6/1694,Cited by 2,"https://scholar.google.com/scholar?q=related:iO05GyCaGUQJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",45,"A Concha Sanchez, JF Figueroa-Rodríguez… - Sensors, 2020 - mdpi.com"
The smARTS_Museum_V1: An open hardware device for remote monitoring of Cultural Heritage indoor environments,https://www.sciencedirect.com/science/article/pii/S2468067217300834,Cited by 6,"https://scholar.google.com/scholar?q=related:n-7NL8fJrtoJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",46,"MG Asinelli, MS Serra, JM Marimòn, JS Espaulella - HardwareX, 2018 - Elsevier"
The CERN Open Hardware License,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ifosslr4&section=11,Cited by 9,"https://scholar.google.com/scholar?q=related:mikNb31bnm4J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",47,"M Ayass, J Serrano - IFOSS L. Rev., 2012 - HeinOnline"
Swarmrobot. org-open-hardware microrobotic project for large-scale artificial swarms,https://arxiv.org/abs/1110.5762,Cited by 18,"https://scholar.google.com/scholar?q=related:YL0oOVi01NIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",48,"S Kernbach - arXiv preprint arXiv:1110.5762, 2011 - arxiv.org"
Open hardware and collaboration,https://s3.cern.ch/inspire-prod-files-3/3912b6380917e25e2afde905d590fd3c,Cited by 5,"https://scholar.google.com/scholar?q=related:QNKlzGBOmdYJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",49,"J Serrano - 11st Intl. W. on personal computers and particle …, 2016 - s3.cern.ch"
Welcome to the Journal of Open Hardware,https://openhardware.metajnl.com/articles/10.5334/joh.3/?utm_source=TrendMD&utm_medium=cpc&utm_campaign=Journal_of_Open_Hardware_TrendMD_0,Cited by 2,"https://scholar.google.com/scholar?q=related:B8dmyFvYC9MJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",50,"LFR Murillo, T Wenzel - Journal of Open Hardware, 2017 - openhardware.metajnl.com"
An Open-Hardware Platform for MPSoC Thermal Modeling,https://link.springer.com/chapter/10.1007/978-3-030-27562-4_13,Cited by 6,"https://scholar.google.com/scholar?q=related:aPneGizY_coJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",51,"F Terraneo, A Leva, W Fornaciari - International Conference on Embedded …, 2019 - Springer"
Milton: An open hardware underwater autonomous vehicle,https://ieeexplore.ieee.org/abstract/document/8078878/,Cited by 8,"https://scholar.google.com/scholar?q=related:yLk-riRPilgJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",52,"R Codd-Downey, M Jenkin… - 2017 IEEE International …, 2017 - ieeexplore.ieee.org"
Open hardware as an experimental innovation platform: preliminary research questions and findings,https://hal.archives-ouvertes.fr/hal-01636625/,Cited by 6,"https://scholar.google.com/scholar?q=related:yjCFgn_7i_oJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",53,"LFR Murillo, P Kauttu - CERN IdeaSquare Journal of …, 2017 - hal.archives-ouvertes.fr"
